032B28 | .. lea $108584, A4                                               result: $108584                                | lea ($584,A5), A4
03720E | .... lea $108100, A4                                             result: $108100                                | lea ($100,A5), A4
03722C | .... lea $108300, A4                                             result: $108300                                | lea ($300,A5), A4
032B36 | .. movea.l $100100, A4                                           result: $100100                                | movea.l D7, A4
032B36 | .. movea.l $100500, A4                                           result: $100500                                | movea.l D7, A4
032B36 | .. movea.l $100700, A4                                           result: $100700                                | movea.l D7, A4
032B36 | .. movea.l $100900, A4                                           result: $100900                                | movea.l D7, A4
032B36 | .. movea.l $100b00, A4                                           result: $100b00                                | movea.l D7, A4
032B36 | .. movea.l $100d00, A4                                           result: $100d00                                | movea.l D7, A4
032B36 | .. movea.l $100f00, A4                                           result: $100f00                                | movea.l D7, A4
032B36 | .. movea.l $101100, A4                                           result: $101100                                | movea.l D7, A4
032B36 | .. movea.l $101300, A4                                           result: $101300                                | movea.l D7, A4
032B36 | .. movea.l $101500, A4                                           result: $101500                                | movea.l D7, A4
032B36 | .. movea.l $101700, A4                                           result: $101700                                | movea.l D7, A4
032B36 | .. movea.l $101900, A4                                           result: $101900                                | movea.l D7, A4
032B36 | .. movea.l $101b00, A4                                           result: $101b00                                | movea.l D7, A4
032B36 | .. movea.l $101d00, A4                                           result: $101d00                                | movea.l D7, A4
032B36 | .. movea.l $101f00, A4                                           result: $101f00                                | movea.l D7, A4
032B36 | .. movea.l $102100, A4                                           result: $102100                                | movea.l D7, A4
032B36 | .. movea.l $102300, A4                                           result: $102300                                | movea.l D7, A4
032B36 | .. movea.l $102500, A4                                           result: $102500                                | movea.l D7, A4
032B36 | .. movea.l $102700, A4                                           result: $102700                                | movea.l D7, A4
032B36 | .. movea.l $102900, A4                                           result: $102900                                | movea.l D7, A4
032B36 | .. movea.l $102b00, A4                                           result: $102b00                                | movea.l D7, A4
032B36 | .. movea.l $102d00, A4                                           result: $102d00                                | movea.l D7, A4
032B36 | .. movea.l $102f00, A4                                           result: $102f00                                | movea.l D7, A4
032B36 | .. movea.l $103100, A4                                           result: $103100                                | movea.l D7, A4
032B36 | .. movea.l $103300, A4                                           result: $103300                                | movea.l D7, A4
032B36 | .. movea.l $100300, A4                                           result: $100300                                | movea.l D7, A4
032B56 | .. lea $10907c.l, A4                                             result: $10907c                                | lea $10907c.l, A4
032B6C | .. lea $10917c, A4                                               result: $10917c                                | lea ($100,A4), A4
032B6C | .. lea $10927c, A4                                               result: $10927c                                | lea ($100,A4), A4
032B6C | .. lea $10937c, A4                                               result: $10937c                                | lea ($100,A4), A4
032B6C | .. lea $10947c, A4                                               result: $10947c                                | lea ($100,A4), A4
0008B6 | .. lea $10881e.l, A4                                             result: $10881e                                | lea $10881e.l, A4
003F44 | ... lea $7bf48.l, A4                                             result: $7bf48                                 | lea $7bf48.l, A4
003F52 | ... movea.l $7bfb4, A4                                           result: $7f5e0                                 | movea.l (A4,D0.w), A4
003F62 | ... lea $80000.l, A4                                             result: $80000                                 | lea $80000.l, A4
003F70 | ... movea.l $8006c, A4                                           result: $86e00                                 | movea.l (A4,D0.w), A4
003F8A | ... movea.l $86ec4, A4                                           result: $f30da                                 | movea.l (A4,D0.w), A4
003F92 | ... adda.w D0, A4                                                result: $f30da                                 | adda.w D0, A4
003F96 | ... movea.l $10f10e6, A4                                         result: $10f10e6                               | movea.l D0, A4
003F44 | ... lea $7bf48.l, A4                                             result: $7bf48                                 | lea $7bf48.l, A4
003F52 | ... movea.l $7bfb4, A4                                           result: $7f5e0                                 | movea.l (A4,D0.w), A4
003F62 | ... lea $80000.l, A4                                             result: $80000                                 | lea $80000.l, A4
003F70 | ... movea.l $8006c, A4                                           result: $86e00                                 | movea.l (A4,D0.w), A4
003F8A | ... movea.l $86ec8, A4                                           result: $f30e2                                 | movea.l (A4,D0.w), A4
003F92 | ... adda.w D0, A4                                                result: $f30e2                                 | adda.w D0, A4
003F96 | ... movea.l $10f110a, A4                                         result: $10f110a                               | movea.l D0, A4
003F44 | ... lea $7bf48.l, A4                                             result: $7bf48                                 | lea $7bf48.l, A4
003F52 | ... movea.l $7bfb4, A4                                           result: $7f5e0                                 | movea.l (A4,D0.w), A4
003F62 | ... lea $80000.l, A4                                             result: $80000                                 | lea $80000.l, A4
003F70 | ... movea.l $8006c, A4                                           result: $86e00                                 | movea.l (A4,D0.w), A4
003F8A | ... movea.l $86ecc, A4                                           result: $f30ea                                 | movea.l (A4,D0.w), A4
003F92 | ... adda.w D0, A4                                                result: $f30ea                                 | adda.w D0, A4
003F96 | ... movea.l $710f10ec, A4                                        result: $710f10ec                              | movea.l D0, A4
003F44 | ... lea $7bf48.l, A4                                             result: $7bf48                                 | lea $7bf48.l, A4
003F52 | ... movea.l $7bfb4, A4                                           result: $7f5e0                                 | movea.l (A4,D0.w), A4
003F62 | ... lea $80000.l, A4                                             result: $80000                                 | lea $80000.l, A4
003F70 | ... movea.l $8006c, A4                                           result: $86e00                                 | movea.l (A4,D0.w), A4
003F8A | ... movea.l $86ed0, A4                                           result: $f30f2                                 | movea.l (A4,D0.w), A4
003F92 | ... adda.w D0, A4                                                result: $f30f2                                 | adda.w D0, A4
003F96 | ... movea.l $10f10fe, A4                                         result: $10f10fe                               | movea.l D0, A4
003F44 | ... lea $7bf48.l, A4                                             result: $7bf48                                 | lea $7bf48.l, A4
003F52 | ... movea.l $7bfb4, A4                                           result: $7f5e0                                 | movea.l (A4,D0.w), A4
003F62 | ... lea $80000.l, A4                                             result: $80000                                 | lea $80000.l, A4
003F70 | ... movea.l $8006c, A4                                           result: $86e00                                 | movea.l (A4,D0.w), A4
003F8A | ... movea.l $86ed4, A4                                           result: $f30fa                                 | movea.l (A4,D0.w), A4
003F92 | ... adda.w D0, A4                                                result: $f30fa                                 | adda.w D0, A4
003F96 | ... movea.l $10f10f2, A4                                         result: $10f10f2                               | movea.l D0, A4
003F44 | ... lea $7bf48.l, A4                                             result: $7bf48                                 | lea $7bf48.l, A4
003F52 | ... movea.l $7bfb4, A4                                           result: $7f5e0                                 | movea.l (A4,D0.w), A4
003F62 | ... lea $80000.l, A4                                             result: $80000                                 | lea $80000.l, A4
003F70 | ... movea.l $8006c, A4                                           result: $86e00                                 | movea.l (A4,D0.w), A4
003F8A | ... movea.l $86ed8, A4                                           result: $f3102                                 | movea.l (A4,D0.w), A4
003F92 | ... adda.w D0, A4                                                result: $f3102                                 | adda.w D0, A4
003F96 | ... movea.l $10f10f8, A4                                         result: $10f10f8                               | movea.l D0, A4
003F44 | ... lea $7bf48.l, A4                                             result: $7bf48                                 | lea $7bf48.l, A4
003F52 | ... movea.l $7bfb4, A4                                           result: $7f5e0                                 | movea.l (A4,D0.w), A4
003F62 | ... lea $80000.l, A4                                             result: $80000                                 | lea $80000.l, A4
003F70 | ... movea.l $8006c, A4                                           result: $86e00                                 | movea.l (A4,D0.w), A4
003F8A | ... movea.l $86edc, A4                                           result: $f310a                                 | movea.l (A4,D0.w), A4
003F92 | ... adda.w D0, A4                                                result: $f310a                                 | adda.w D0, A4
003F96 | ... movea.l $10f1104, A4                                         result: $10f1104                               | movea.l D0, A4
003F44 | ... lea $7bf48.l, A4                                             result: $7bf48                                 | lea $7bf48.l, A4
003F52 | ... movea.l $7bfb4, A4                                           result: $7f5e0                                 | movea.l (A4,D0.w), A4
003F62 | ... lea $80000.l, A4                                             result: $80000                                 | lea $80000.l, A4
003F70 | ... movea.l $8006c, A4                                           result: $86e00                                 | movea.l (A4,D0.w), A4
003F8A | ... movea.l $86ee0, A4                                           result: $f3112                                 | movea.l (A4,D0.w), A4
003F92 | ... adda.w D0, A4                                                result: $f3112                                 | adda.w D0, A4
003F96 | ... movea.l $10f1110, A4                                         result: $10f1110                               | movea.l D0, A4
003F44 | ... lea $7bf48.l, A4                                             result: $7bf48                                 | lea $7bf48.l, A4
003F52 | ... movea.l $7bf98, A4                                           result: $7e7c0                                 | movea.l (A4,D0.w), A4
003F62 | ... lea $80000.l, A4                                             result: $80000                                 | lea $80000.l, A4
003F70 | ... movea.l $80050, A4                                           result: $85200                                 | movea.l (A4,D0.w), A4
003F8A | ... movea.l $85200, A4                                           result: $d9208                                 | movea.l (A4,D0.w), A4
003F92 | ... adda.w $c, A4                                                result: $d9214                                 | adda.w D0, A4
003F96 | ... movea.l $70d4ae8, A4                                         result: $70d4ae8                               | movea.l D0, A4
003F44 | ... lea $7bf48.l, A4                                             result: $7bf48                                 | lea $7bf48.l, A4
003F52 | ... movea.l $7bf94, A4                                           result: $7e5c0                                 | movea.l (A4,D0.w), A4
003F62 | ... lea $80000.l, A4                                             result: $80000                                 | lea $80000.l, A4
003F70 | ... movea.l $8004c, A4                                           result: $84e00                                 | movea.l (A4,D0.w), A4
003F8A | ... movea.l $84e00, A4                                           result: $d7184                                 | movea.l (A4,D0.w), A4
003F92 | ... adda.w $c, A4                                                result: $d7190                                 | adda.w D0, A4
003F96 | ... movea.l $40d4338, A4                                         result: $40d4338                               | movea.l D0, A4
003F44 | ... lea $7bf48.l, A4                                             result: $7bf48                                 | lea $7bf48.l, A4
003F52 | ... movea.l $7bf8c, A4                                           result: $7e1c0                                 | movea.l (A4,D0.w), A4
003F62 | ... lea $80000.l, A4                                             result: $80000                                 | lea $80000.l, A4
